Topology,embed_type,space_group,genus,vertices,edges
eft,4,P4/mmm,7,3,2
epa,2,R-3m,12,3,2
epaa,1b,R-3m,19,4,7
epba,1b,P4(2)/nnm,33,4,8
epc,1b,I4/mmm,15,3,2
epd,2,P4(2)32,21,3,2
epe,1b,Im-3m,31,3,2
epf,4,I4(1)/amd,11,3,2
epm,2,Pn-3m,33,3,2
epo,1a,Pm-3n,35,3,2
epp,2,Im-3m,33,3,2
epq,2,Pm-3m,41,3,2
epr,2,Pm-3n,29,3,2
eps,2,Pm-3m,19,3,2
ept,2,P4(2)/nnm,11,3,2
epu,4,R-3m,11,3,2
epx,2,I-4m2,6,3,2
epy,2,Fd-3m,33,3,2
eri,1b,P6(3)/mmc,37,2,6
esg,1b,C2/c,7,2,3
eta,1b,P6(2)22,4,1,2
etb,1b,R-3m,4,1,2
etc,1b,P6(3)/mmc,5,2,2
etd,1b,P6(1)22,7,1,3
ete,1b,P6(4)22,7,2,3
etf,1b,R-3c,7,1,3
etg,1b,P4(2)/mcm,9,2,3
eth,1b,Pmna,7,2,4
eti,1b,I4(1)/acd,17,2,4
etj,1b,P4(2)/nnm,9,2,3
etm,1b,Ibam,7,2,4
etn,1b,I4/mmm,9,2,3
eto,1b,I4(1)32,17,2,3
etp,1b,I4(1)32,17,2,3
etq,4,I432,9,2,2
ets,1b,I4(1)32,17,2,3
eye,1b,P6/mmm,14,2,2
eyea,1b,P6/mmm,37,3,7
fab,1a,Fm-3m,12,2,2
fcu,1a,Fm-3m,6,1,1
fdu,4,P4(2)/mmc,9,3,2
fdua,4b,P4(2)/mmc,29,4,9
fel,1b,C2/m,9,2,5
fet,2b,P4/mbm,9,2,3
ffc,1b,P4/mmm,6,3,2
ffd,1b,P6mm,16,4,4
fff,1a,Fm-3m,17,3,2
fgl,1b,R-3c,13,2,2
fjh,1b,I4/mcm,11,3,2
fla,1a,Fm-3m,12,2,2
flt,1b,I4/mmm,6,2,2
flu,1a,Fm-3m,6,2,1
flue,1a,Fm-3m,17,1,2
fly,2,Imma,7,2,3
fmj,1b,Immm,11,5,4
fmz,4,R-3c,19,2,3
fof,1b,R-3m,7,2,2
fog,1b,R-3m,7,2,2
frf,4,Cmcm,15,4,4
